Year,Month,Day,Hour,Minute,Seconds,Subject,Experiment,Trial,Distractor_num,Distractor_size,Setup_time(s),Inspection_time(s),Search_time(s),Input_time(s),Accuracy
2019,5,29,15,34,20.334,7,2,13,8,1.75,2.0955,2.007,75.706,3.0572,1
2019,5,29,15,35,3.854,7,2,14,8,0.5,2.3254,1.7923,24.895,3.2636,1
2019,5,29,15,35,26.848,7,2,15,6,1.75,1.2359,1.6381,7.5792,3.3053,1
2019,5,29,15,36,17.341,7,2,16,6,0.75,1.1803,1.5851,33.998,3.0003,1
2019,5,29,15,36,51.569,7,2,17,6,1.5,1.3682,1.7316,18.853,2.9661,1
2019,5,29,15,37,35.248,7,2,18,8,1.5,1.8065,2.933,21.066,2.8602,1
2019,5,29,16,25,57.494,8,2,1,6,1.5,8.7597,1.5995,12.333,1.8693,1
2019,5,29,16,26,22.931,8,2,2,4,0.25,1.7162,1.624,7.8804,2.4998,1
2019,5,29,16,26,41.122,8,2,3,6,1.25,1.315,1.5542,3.8604,2.1996,1
2019,5,29,16,27,7.929,8,2,4,6,0.5,1.4025,7.0295,2.5113,2.2503,1
2019,5,29,16,27,33.677,8,2,5,8,0.5,1.4356,1.5472,10.3,3.0437,1
2019,5,29,16,28,10.641,8,2,6,4,0.75,1.5002,1.2424,22.48,2.0851,1
2019,5,29,16,28,29.472,8,2,7,8,0.25,1.2462,1.3886,5.7243,1.9042,1
2019,5,29,16,29,16.544,8,2,8,8,1.25,1.7852,1.6258,31.66,2.8173,0
2019,5,29,16,29,52.219,8,2,9,8,1.5,1.4616,2.0895,20.882,1.9542,1
2019,5,29,16,30,12.754,8,2,10,4,0.5,1.3587,1.2684,5.0998,2.8412,1
2019,5,29,16,30,47.279,8,2,11,6,0.75,1.5629,1.7829,19.497,2.4138,0
2019,5,29,16,31,13.284,8,2,12,4,1.5,1.7407,1.8233,10.191,1.713,1
2019,5,29,16,31,36.462,8,2,13,6,1.75,2.3753,1.4796,9.9328,1.715,1
2019,5,29,16,32,3.84,8,2,14,4,1.25,1.4863,2.0523,12.887,1.9582,1
2019,5,29,16,32,29.94,8,2,15,8,1.75,1.3526,1.9587,8.6371,2.0872,1
2019,5,29,16,32,48.267,8,2,16,6,0.25,1.5056,1.6836,4.6229,2.0286,1
2019,5,29,16,33,9.461,8,2,17,4,1.75,1.1095,1.7223,6.7886,2.0021,1
2019,5,29,16,33,45.329,8,2,18,8,0.75,1.6263,1.6873,20.226,2.2783,1
2019,5,29,17,25,36.905,9,2,1,8,0.25,1.2867,15.686,5.4457,1.8102,1
2019,5,29,17,26,44.874,9,2,2,8,0.5,1.1091,1.6479,45.311,1.9179,1
2019,5,29,17,27,17.467,9,2,3,4,1.25,1.271,1.172,17.074,2.2988,1
2019,5,29,17,27,56.61,9,2,4,8,0.75,1.5936,1.9987,17.391,2.8072,0
2019,5,29,17,28,19.163,9,2,5,8,1.25,1.4433,1.8021,8.7893,1.6908,1
